abstain_tokens,aye_tokens,delegates,is_active,last_vote_time,nay_tokens,support_ratio_pct,total_tokens_cast,total_votes,voter,voter_name,voter_type
0.0,0.0,,True,2024-04-26 17:20:42.000 UTC,0.0,0.0,0.0,1,14mibDirYT6M3YM32mZtvLWkto3piF58TW1AmtaNYLeuCkfT,14mi...CkfT,Direct Voter
0.0,1.0,,True,2023-06-15 22:32:12.000 UTC,0.0,100.0,1.0,1,12BRURn5LtL43yHWemmimqshGnL2vQJs6xtXPNFLHVRmUKDx,12BR...UKDx,Direct Voter
0.0,0.0,,True,2024-05-15 16:58:06.000 UTC,10.0,0.0,10.0,1,13xeAe8W9YAAKsAiJZuBGxPc52Vg63zi98dtVsHaACfou2Ab,13xe...u2Ab,Direct Voter
0.0,1.0,,True,2024-08-17 12:53:12.000 UTC,0.0,100.0,1.0,1,12TDnzaKZWVLjZfztYV1Ty49CZAj99pAZPM6ovnsVCcqHbb,12TD...qHbb,Direct Voter
0.0,0.5,,True,2024-03-15 21:50:06.000 UTC,0.0,100.0,0.5,1,13L1EMC8YHRmSkatmWywGK92jARdo4jXv489bED9snu4g55g,13L1...g55g,Direct Voter
0.0,1.0,,True,2024-02-01 02:15:42.000 UTC,0.0,100.0,1.0,1,13rjoM4cnFrCR4NoAH5hHNRjJsTswFPZwM19DUEuuGzpS2Xv,13rj...S2Xv,Direct Voter
0.0,200.0,,False,2025-04-10 21:49:12.000 UTC,0.0,100.0,200.0,1,1bGZBUepDiC449YUyxTQPbU3Pdjn4t3tKA1pBwZGqb57D6N,1bGZ...7D6N,Direct Voter
0.0,5912.52,,True,2025-05-19 17:43:00.000 UTC,0.0,100.0,5912.52,1,14Tc5FhwEiYWJDvb42xc58LAAaYzy3ZopN7powsXEVVQP9nU,14Tc...P9nU,Direct Voter
0.0,0.1,,True,2024-02-01 18:59:36.000 UTC,0.0,100.0,0.1,1,14oY5ZT1xT8arwDPQfwXHGjU4zKTK3C8TMVdp8Y16Ny79m2T,14oY...9m2T,Direct Voter
0.0,1800.0,,True,2023-06-25 14:13:42.000 UTC,0.0,100.0,1800.0,1,12U7ktzz5DrLGJW496s8KPLhxGUW24nYPzdz6b3x2RZTQHv5,12U7...QHv5,Direct Voter
0.0,3.3,,True,2024-02-01 02:51:48.000 UTC,0.0,100.0,3.3,1,1QymvkKbv2Qub6D2g33RL4zFP3exKbeDuSaqZkphENRwMk2,1Qym...wMk2,Direct Voter
0.0,800.0,,True,2025-05-16 17:57:06.000 UTC,0.0,100.0,800.0,1,14EAgFLnFABXV9f2sG87wJ9bvuTNDQYZDyxcYGoT8rbygraW,14EA...graW,Direct Voter
0.0,164975.0,,True,2024-12-24 18:24:42.000 UTC,0.0,100.0,164975.0,1,131MpMXeuKG6L27Ye23uzWr739KFbbrCBdiv39XZtnTCPwQB,Eiger,Direct Voter
0.0,0.0,,True,2024-11-24 08:42:12.000 UTC,0.0,0.0,0.0,1,15wmLdxRQWj7rAnvp3PaBF4eBgD7rnA5vUSWFQFXeTuQAA15,15wm...AA15,Direct Voter
0.0,0.25,,True,2025-07-11 13:01:42.000 UTC,0.0,100.0,0.25,1,15MKv8EYtYV8epN7Mq4MrDHmpXEKz4HkgDqxZnprcM88Soi8,15MK...Soi8,Direct Voter
0.0,0.0,,True,2024-11-18 03:23:42.000 UTC,0.0,0.0,0.0,1,15oRjpmpRfDQ28QG7ShDBxS83gbgxB9oGQMbekHZL7ciCSj7,15oR...CSj7,Direct Voter
0.0,2357.59,,True,2024-09-10 17:25:00.000 UTC,0.0,100.0,2357.59,1,147oENE4AQ8ZqaBtyKrxsbpHTWBLX97S1QeKQjDq9Xs8LgAv,147o...LgAv,Direct Voter
0.0,5.0,,True,2024-04-19 08:44:30.000 UTC,0.0,100.0,5.0,1,13EbTrKoNG7yzg5PVwKqUDrfNtRqkWj1NrNCrJBD5fPAov1y,13Eb...ov1y,Direct Voter
0.0,0.0,,True,2023-10-05 11:26:48.000 UTC,0.0,0.0,0.0,1,13dSmAn8tVAscZh1HhcQuVPn33ddNCGwsRbagwCemyiokxEN,Gürkan,Direct Voter
0.0,0.0,,True,2024-05-04 08:49:18.000 UTC,1243.98,0.0,1243.98,1,16T2zcJ5zeF7DDKnB1zcW3mem8PwdpMeWeienL7MDcZtHaWq,16T2...HaWq,Direct Voter
0.0,1.2,,True,2025-03-22 22:06:42.000 UTC,0.0,100.0,1.2,1,13ipok2pfKPAwwZkdQXypcer83gGdw77nKso8wMimhFPRUyz,13ip...RUyz,Direct Voter
0.0,2.0,,True,2025-04-30 16:27:36.000 UTC,0.0,100.0,2.0,1,123bfzNV4jC4aDFDS9ZxZRWgdsvcNZJqUMLEzcpqgZfLVC27,123b...VC27,Direct Voter
0.0,1.0,,True,2024-07-31 16:53:42.000 UTC,0.0,100.0,1.0,1,13e9gmHDvayJefiueQgzcGeyC3wKTa9LCdjJHq5DAB7tyqx,13e9...tyqx,Direct Voter
0.0,4.77,,True,2023-06-16 15:55:18.000 UTC,0.0,100.0,4.77,1,14uDayyY7Mztw1Vt67dhF5DZ8mpB1ZARWL4KTTAuWdpyVE94,14uD...VE94,Direct Voter
0.0,1.0,,True,2024-02-01 02:32:00.000 UTC,0.0,100.0,1.0,1,155GuPWQhA99PEZZ5Mmj1dntEFpyb1RGFkNcXHCA4PEvWqdz,155G...Wqdz,Direct Voter
0.0,1.0,,True,2024-02-25 21:37:18.000 UTC,0.0,100.0,1.0,1,12umNwSVG9tZvf8WSuUDnHbRhubQv5KinXgRz1ZEy8NrFbGN,12um...FbGN,Direct Voter
0.0,50.0,,True,2024-05-15 18:26:18.000 UTC,0.0,100.0,50.0,1,14Ak9rrF6RKHHoLLRUYMnzcvvi1t8E1yAMa7tcmiwUfaqzYK,eclesiomelo,Direct Voter
0.0,10.0,,True,2024-01-11 12:17:18.000 UTC,0.0,100.0,10.0,1,1Eib1PyJc7wUUqYXjRrxRBhvC6JYmW7mdYrD4yt1FtvS1BF,1Eib...S1BF,Direct Voter
0.0,0.0,,True,2024-08-13 01:09:24.000 UTC,0.0,0.0,0.0,1,12v3wQXPFrnE4m2MYPoRrdT1hzJja9EtG8j95Yxu1UPC12X2,12v3...12X2,Direct Voter
0.0,0.0,,True,2024-12-30 15:28:36.000 UTC,0.0,0.0,0.0,1,124FiWp2y1ub5sgxpiDrZXgG1vca7TYDDczKvvshMQqBEop4,124F...Eop4,Direct Voter
0.0,1.0,,True,2024-02-01 02:32:24.000 UTC,0.0,100.0,1.0,1,1569wQ7nWeZiwPz8KdKtYLSVm48T4a5Kjio4iospQn1kbRTt,1569...bRTt,Direct Voter
0.0,35.0,,True,2023-07-21 22:01:12.000 UTC,0.0,100.0,35.0,1,15VsCK4DoWfBLZ4dD24voRJCeKLDwfo9N3as57qteMBXnjwF,15Vs...njwF,Direct Voter
0.0,0.0,,True,2024-03-26 00:03:54.000 UTC,0.0,0.0,0.0,1,138pbBtr9vHHJ6JiM8d9dkGrZLnQXCps6FXbkRdnhn2w4Yeq,138p...4Yeq,Direct Voter
0.0,0.0,,True,2024-04-04 01:13:48.000 UTC,0.0,0.0,0.0,1,13uv9y5nDVw8UhM44NwEL3yPpSfBEsUVxgkko4ctUBLqabhM,13uv...abhM,Direct Voter
0.0,0.0,,True,2023-10-27 20:00:24.000 UTC,1.0,0.0,1.0,1,13rReUVsg5yE2Gj6mDnAn8iNerjF32CweJwmyCQR5ec3CRGt,13rR...CRGt,Direct Voter
0.0,0.0,,True,2024-03-16 02:29:30.000 UTC,0.0,0.0,0.0,1,13R3GFXUUSskDGD7T4B12w2ivbbN8NLPeLroLcLRqjY45qM8,13R3...5qM8,Direct Voter
